Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
task4 | cleaning | F3D0_S188_L001_R1_001	94.38347320852162	54.0	235.93686249193027	36.36363636363637	7745.0
task4 | cleaning | F3D141_S207_L001_R1_001	94.52401010951979	54.0	235.97068239258635	45.45454545454545	5935.0
task4 | cleaning | F3D142_S208_L001_R1_001	92.11107604922688	54.0	238.07194698643104	45.45454545454545	3169.0
task4 | cleaning | F3D143_S209_L001_R1_001	92.95461758172009	54.0	236.98762297683274	45.45454545454545	3151.0
task4 | cleaning | F3D144_S210_L001_R1_001	93.61568954725641	54.0	233.8612559983309	45.45454545454545	4793.0
task4 | cleaning | F3D145_S211_L001_R1_001	94.96324530356657	54.0	235.81486523277974	45.45454545454545	7346.0
task4 | cleaning | F3D146_S212_L001_R1_001	93.855421686747	54.0	234.47610441767068	36.36363636363637	4980.0
task4 | cleaning | F3D147_S213_L001_R1_001	96.12142646625405	54.0	237.29837901562038	36.36363636363637	16965.0
task4 | cleaning | F3D148_S214_L001_R1_001	95.60074536174349	54.0	236.75872964433282	36.36363636363637	12343.0
task4 | cleaning | F3D149_S215_L001_R1_001	95.70868261170499	54.0	235.83688379604706	36.36363636363637	13003.0
task4 | cleaning | F3D150_S216_L001_R1_001	93.86559238234756	54.0	237.8681560153818	45.45454545454545	5461.0
task4 | cleaning | F3D1_S189_L001_R1_001	93.38146811070999	54.0	233.48306687295857	36.36363636363637	5817.0
task4 | cleaning | F3D2_S190_L001_R1_001	96.46467237929089	53.0	238.30596746882858	36.36363636363637	19489.0
task4 | cleaning | F3D3_S191_L001_R1_001	94.68433591423467	53.0	237.2620607504467	45.45454545454545	6716.0
task4 | cleaning | F3D5_S193_L001_R1_001	93.88448471121178	54.0	235.81879954699886	36.36363636363637	4415.0
task4 | cleaning | F3D6_S194_L001_R1_001	94.93192133131619	53.0	238.02710539586485	36.36363636363637	7932.0
task4 | cleaning | F3D7_S195_L001_R1_001	94.38885618991564	53.0	239.55208946439083	45.45454545454545	5097.0
task4 | cleaning | F3D8_S196_L001_R1_001	93.46628679962014	53.0	236.41120607787275	36.36363636363637	5265.0
task4 | cleaning | F3D9_S197_L001_R1_001	94.54649010394418	53.0	237.48483554036736	36.36363636363637	7023.0
task4 | raw | F3D0_S188_L001_R1_001	94.5335557551649	54.0	250.98344668292057	36.36363636363637	7793.0
task4 | raw | F3D141_S207_L001_R1_001	94.9983215844243	54.0	250.98136958710978	36.36363636363637	5958.0
task4 | raw | F3D142_S208_L001_R1_001	92.52277725416275	54.0	250.99340245051837	36.36363636363637	3183.0
task4 | raw | F3D143_S209_L001_R1_001	93.2662051604783	54.0	250.98300818124608	36.36363636363637	3178.0
task4 | raw | F3D144_S210_L001_R1_001	94.15786202610317	54.0	250.99274911953594	36.36363636363637	4827.0
task4 | raw | F3D145_S211_L001_R1_001	95.36396909312728	54.0	250.99132438660703	36.36363636363637	7377.0
task4 | raw | F3D146_S212_L001_R1_001	94.28400716988648	54.0	250.98625771758614	36.36363636363637	5021.0
task4 | raw | F3D147_S213_L001_R1_001	96.47334504979496	54.0	250.99062683069712	36.36363636363637	17070.0
task4 | raw | F3D148_S214_L001_R1_001	95.8403869407497	54.0	250.98952035469569	36.36363636363637	12405.0
task4 | raw | F3D149_S215_L001_R1_001	96.140029045326	54.0	250.97989757700833	36.36363636363637	13083.0
task4 | raw | F3D150_S216_L001_R1_001	93.88273733889999	54.0	250.976220729715	36.36363636363637	5509.0
task4 | raw | F3D1_S189_L001_R1_001	93.76384392571137	54.0	250.98381325609134	36.36363636363637	5869.0
task4 | raw | F3D2_S190_L001_R1_001	96.55453618756371	53.0	250.99092762487257	36.36363636363637	19620.0
task4 | raw | F3D3_S191_L001_R1_001	95.08730393607576	53.0	250.9921574430305	36.36363636363637	6758.0
task4 | raw | F3D5_S193_L001_R1_001	94.13219424460432	54.0	250.9894334532374	36.36363636363637	4448.0
task4 | raw | F3D6_S194_L001_R1_001	95.03066716735512	53.0	250.99148829640757	36.36363636363637	7989.0
task4 | raw | F3D7_S195_L001_R1_001	94.73581594852797	53.0	250.99278611815168	36.36363636363637	5129.0
task4 | raw | F3D8_S196_L001_R1_001	93.74763883641859	53.0	250.98734416320363	36.36363636363637	5294.0
task4 | raw | F3D9_S197_L001_R1_001	94.8939179632249	53.0	250.9882602545969	36.36363636363637	7070.0
